AFG,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
OWID_CYN,Asia,Northern Cyprus,1/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,,,,,2601,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,,,,,2601,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,,,,,2601,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,,,,,2601,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968,,,,,994,1.3,,,,2601,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163,,,,,3043,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284,,,,,3359,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,,,,,1429,2.88,,,,3739,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488,,,,,3893,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546,,,,,4045,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605,,,,,4199,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/26/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663,,,,,4351,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/27/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576,,,,,4123,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490,,,,,3898,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,1/31/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/2/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/5/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/26/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/27/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,2/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/2/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/5/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403,,,,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97969,53886,44083,,,1403,25.63,14.1,11.53,,3671,,,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/26/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252,,,,,3276,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/27/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,,,,,2883,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,,,,,2491,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,,,,,2096,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,,,,,1703,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,3/31/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,,1311,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/2/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/3/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/5/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/6/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/7/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/8/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/9/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104978,56516,48462,,,350,27.46,14.79,12.68,,916,132,0.035,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,,,,965,178,0.047,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,,,,,1012,225,0.059,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,,1060,272,0.071,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,,,,1107,319,0.083,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107365,58812,48553,,,441,28.09,15.39,12.7,,1154,366,0.096,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,,1222,412,0.108,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,,1290,459,0.12,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,1308,458,0.12,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/23/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109490,60642,48848,,,508,28.65,15.87,12.78,,1329,458,0.12,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,,,,,1460,492,0.129,,,,,,,,,,,,,,,,,,,,
OWID_CYN,Asia,Northern Cyprus,4/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,,,,,1588,526,0.138,,,,,,,,,,,,,,,,,,,,
