iso_code,location,continent,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
AFG,Asia,Afghanistan,,59464846,175901,174748.273,2590596,7639,7626.566,1492762.828,4415.697,4386.754,65032.451,191.734,191.458,757.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106559265,88061683,68893754,0,13742,5574690,267.54,221.06,172.93,0,139936,4937233,12.441,26936.42,29717229288,40598.812,13875.6,1925.426,997.402,1345774.302,0,445383.634,7154.14,0,0,28158.516,373,48363.18,381.206,0,0,0,0,0,0,0
ARM,Asia,Armenia,,127177010,421714,421402.437,2550677,8565,8512.278,42847549.03,142080.813,141975.832,859355.458,2885.691,2867.909,752.7,0,0,0,0,0,0,0,0,2920038,736999201,248304.385,983.792,2910420,980.553,113.083,9789.7,0,32883259,18528735,13128379,74444,0,2015312,1107.88,624.25,442.33,2.51,678986,1086225,36.6,0,2276554176,78948.077,27381.9,8614.944,5806.957,6740073.86,1380.6,261554.67,5453.37,1150.5,39960.7,72130.981,3221.4,57594.03,595.192,221478.9,623.54,977.81,74619.05282,0,0,0
AZE,Asia,Azerbaijan,,198521491,790153,789437.867,2666472,9575,9530.154,19418449.68,77289.103,77219.133,260821.894,936.602,932.205,752.71,0,0,0,0,0,0,0,0,1709563,967621446,94648.236,167.221,3352665,327.942,37.2391,8068.1,0,2097890698,1011956281,866046456,149578210,10248704,13152151,20520.61,9898.42,8471.19,1463.11,1286486,5317354,52.005,49316.7,7565274560,88288.66,23976,4453.32,2864.54,11727090.06,0,414260.88,5261.4,222,31450,61598.34,3478,54020,559.44,399169.2,511.75,859.85,39044.87612,0,0,0
BHR,Asia,Bahrain,,120569710,533748,528767.135,516505,1518,1453.593,68964167.95,305296.317,302447.307,295433.499,868.295,831.431,772.25,0,0,0,0,0,0,0,0,5907237,1972215008,1128079.073,3378.867,9437621,5398.176,34.4705,65860,0,768584770,357437605,316884109,45416384,2927653,3349744,43961.93,20444.75,18125.25,2597.78,1915996,1206395,69.006,39506.11,1304228070,1444186.622,24170.4,1769.512,1034.702,32294865.93,0,113159.994,12323.92,4326.8,28049.6,0,1492,57658.34,635.592,0,0,0,0,0,0,0
BGD,Asia,Bangladesh,,580169913,1948798,1947639.005,9431679,29100,29085.415,3488621.287,11718.321,11711.352,56713.655,174.894,174.906,738.02,0,0,0,0,0,0,0,0,13527500,3798235482,22839.182,81.354,13468089,80.974,90.1125,13371.7,0,9356591453,5825000311,3492736362,39225898,90757343,215863601,5626.18,3502.52,2100.21,23.62,1297997,125154935,75.245,51617.4,1.22732E+11,933596.568,20295,3762.324,2407.356,2600700.192,10922.4,219926.214,6184.44,738,32988.6,25688.304,590.4,53571.42,466.416,0,0,0,0,0,0,0
BTN,Asia,Bhutan,,1209809,16277,15180.74,973,7,6.006,1551236.057,20870.602,19464.935,1247.603,8.974,7.686,491.83,0,0,0,0,0,0,0,0,1711669,323826981,415216.039,2194.734,1678579,2152.272,2.4659,1278875.9,0,74311244,49011401,17359718,351962,862033,1850040,9528.32,6284.38,2225.92,45.13,2372149,857397,109.933,49310.38,573226500,15573.18,21021,3590.475,2188.095,6400818.795,1102.5,159543.51,7166.25,0,0,58658.145,1249.5,52758.3,480.69,0,0,0,0,0,0,0
BRN,Asia,Brunei,,27838314759,119726775,117200043.9,400487779,1310061,1284935.505,706789468.2,3779087.297,3685118.401,6622129.09,24338.255,24006.021,28360.25,650905,24488.914,4525067,216801.031,50863,4947.302,4716762,189039.142,1564728835,3.98879E+11,9676198.669,46297.815,1727300613,52672.278,1353.8034,8484877.8,0,1.17833E+12,3.37858E+11,2.31148E+11,16958683982,6284884984,7186938002,821220.14,372124.11,296710.17,49719.73,63707892,2645141311,2716.525,1754134.92,3.39511E+12,33786900.14,981086.8,208522.234,134125.211,801445753.9,105105.5,8389464.68,272265.79,129955.8,996820.6,1093413.476,84550.23,2379937.46,22503.247,15428695.2,5604.81,10329.88,319149.5239,0,0,0
KHM,Asia,Cambodia,,29435357,133501,132677.579,632424,3044,3040.719,1736963.438,7877.798,7829.194,37318.948,179.596,179.422,561,0,0,0,0,0,0,0,0,317140,116242468,6859.397,18.714,1771028,104.547,18.6338,22177.6,0,6351110000,3161949361,2795087688,600002098,35081225,35901445,37477.54,18658.43,16493.63,3540.61,2118517,14685937,86.654,38409.06,13116549204,70180.128,19814.4,3414.888,1845.99,2821284.18,0,209670.408,3096,1548,26083.8,51261.246,619.2,54040.68,459.756,0,0,0,0,0,0,0
CHN,Asia,China,,68810662,112399,109197.704,3411146,4640,4585.866,47645.682,77.834,75.604,2361.986,3.21,3.173,846.34,0,0,0,0,0,0,0,0,0,250000000,173.105,0,60232559,41.699,0,5669418.8,0,6.44988E+11,15236276000,29063728000,1715606000,3094524000,3160119067,44660.02,1054.97,2012.42,118.79,2188110,664373055,46.016,55085.8,1.12504E+12,115038.046,30147.3,8289.339,4618.691,11925486.65,545.3,204019.321,7587.46,1480.1,37703.6,0,3380.86,59912.89,592.819,0,0,0,0,0,0,0
GEO,Asia,Georgia,,267425099,1631900,1626692.864,3492231,16485,16395.025,67196068.46,410048.516,408740.116,877495.03,4142.18,4119.59,761.48,0,0,0,0,0,0,0,0,13516998,2353622831,591396.248,3396.426,13429887,3374.523,44.7325,9210.6,0,323365030,181487838,138671398,80818,1417514,2827530,8125.15,4560.25,3484.46,2.03,710470,1578473,39.662,44246.73,2960951112,48383.808,28792.8,11058.816,7621.536,7250338.776,3124.8,369186.192,5289.84,3943.2,41292,0,1934.4,54884.88,604.128,48388.2,92.04,195.21,12158.53266,0,0,0
HKG,Asia,Hong Kong,,11420611,575647,494832.001,125907,3150,2316.171,1512102.939,76216.334,65516.356,16670.184,417.036,306.668,0,0,0,0,0,0,0,0,0,0,336410091,44541.107,0,35628568,4717.315,0.045,218089.1,0,2384144810,1237956382,1067272404,78916024,13565035,13351333,31566.35,16390.69,14130.94,1044.72,1767740,6244736,82.686,46734.7,5876078400,5476897.492,34854.4,12683.734,7902.924,43610727.76,0,0,6480.74,0,0,0,0,66021.08,738.322,27753,47.05,69.33,3674.5313,0,0,0
IND,Asia,India,,13089672572,42984261,42971321.86,173043353,508341,490656.721,9393991.47,30848.278,30838.975,124187.061,364.83,352.127,780.55,0,0,0,0,0,0,0,0,755315972,2.10787E+11,151274.592,542.06,770953840,553.275,38.6781,27872.8,0,2.87164E+11,1.86337E+11,1.00054E+11,764197963,1724235899,1788275363,20608.83,13372.73,7180.56,54.85,1283385,967743046,69.459,52706.17,1.07432E+12,347273.049,21742.2,4617.519,2632.194,4954965.654,16345.2,217637.88,8010.69,1464.9,15882.6,45913.05,408.63,53707.86,497.295,0,0,0,0,0,0,0
IDN,Asia,Indonesia,,1376279900,5847900,5773016.57,42820673,151413,150496.282,4979993.455,21160.307,20889.356,154944.256,547.885,544.553,783.2,0,0,0,0,0,0,0,0,49779759,9313433611,33700.142,180.119,49198034,178.019,34.0452,59024.1,0,30251073610,31035536071,20174114882,13686156,272430616,352700313,10946.22,11230.03,7299.92,4.95,1276212,191943301,69.454,48109.9,2.04231E+11,107690.775,21652.7,3930.741,2256.167,8268481.816,4212.3,253376.496,4670.48,2069.2,56237.9,47446.756,768.56,53001.08,530.602,0,0,0,0,0,0,0
IRN,Asia,Iran,,1911546194,7113591,7096213.288,48565653,138572,138090.858,22481172.18,83660.998,83456.627,571167.364,1629.704,1624.055,792.14,0,0,0,0,0,0,0,0,18074432,7678659415,90306.628,212.561,47428696,557.794,103.5942,7597.3,0,9091381367,4460125416,3629768304,974416759,18164985,142895502,10692.16,5245.45,4268.84,1145.98,1680549,63157384,74.267,47751.06,63856598760,37423.081,24332.4,4085.44,2389.682,14331047.62,150.2,203001.308,7202.09,600.8,15846.1,0,1126.5,57586.68,588.033,13264770.2,2487.74,3531.43,156003.3358,0,0,0
IRQ,Asia,Iraq,,730130250,2311238,2309055.859,9932865,25090,25059.709,17730494.34,56126.132,56073.145,241209.851,609.296,608.555,762.51,0,0,0,0,0,0,0,0,12996351,4290580531,104192.528,315.61,17805391,432.39,81.9212,10864.5,0,465098613,270457820,175276846,0,9985,16919130,1129.43,656.81,425.64,0,410849,9945082,24.164,53377.26,30719795846,65741.25,14920,2376.756,1459.922,11685333.56,1865,163084.552,6587.18,0,0,70553.696,1044.4,52667.6,502.804,0,0,0,0,0,0,0
ISR,Asia,Israel,,587395678,3705339,3678254.417,3389290,10366,10238.868,63222008.19,398809.499,395894.362,364792.803,1115.728,1102.039,790.41,92859,9994.488,669113,72017.342,40591,4368.87,548895,59078.135,49203949,10929176121,1176318.609,5295.872,49068421,5281.302,34.9771,83026.5,0,5381823238,2416931568,2132951794,831939876,18025602,18088001,57925.18,26013.67,22957.17,8954.26,1946830,6765683,72.826,44307.59,6968250000,301954.5,22950,8799.75,5519.25,24849240,375,69990,5055,11550,26550,0,2242.5,62227.5,689.25,354284,506.34,995.73,38131.95566,0,0,0
JPN,Asia,Japan,,613130337,5610816,5441831.734,6582788,25718,25146.014,4864152.843,44512.339,43171.739,52223.297,204.06,199.483,817.67,81702,648.166,828937,6576.215,0,0,0,0,38394244,8456898861,67091.191,304.596,37977744,301.281,56.2252,38445.9,0,27348570608,13942138153,12439792124,459006966,171188453,233952385,21696.44,11060.75,9868.89,364.14,1856014,101811591,80.777,32840.76,98193570084,270919.062,37547.8,21071.171,14406.047,30382731.72,0,61829.23,4455.88,8724.8,26252.3,0,10165.95,65926.77,715.901,-601378.8,-58.8,-9.68,-4770.924255,0,0,0
JOR,Asia,Jordan,,9149387520,49596143,47474434.4,108473872,423086,418763.417,505288947.1,2414115.126,2363099.762,4139949.004,14771.404,14635.998,21049.37,476344,13846.26,3027017,138207.474,10272,578.432,4167867,129961.007,627129990,1.44366E+11,7410345.122,36031.857,643806445,37130.133,940.9511,2339150.6,0,1.6452E+11,79543983077,59453208453,11520712991,935978917,1420870931,562849.84,256078.73,203142.16,34462.6,46120570,616483665,1977.838,1254657.98,7.69503E+11,26885852.94,700616,124833.468,81729.184,588801744.5,78487.7,6490328.673,204468.15,97110.8,728353.5,878238.728,60882.83,1744430.92,15970.921,2334566.2,2489.81,5579.72,113244.5562,0,0,0
KAZ,Asia,Kazakhstan,,336805097,1451965,1352961.429,5224209,19269,17992.853,17731289.38,76439.489,71227.396,275031.349,1014.431,947.269,724.77,0,0,0,0,0,0,0,0,11792426,1970609383,103743.818,620.829,11842369,623.452,16.8953,19418.4,0,3606081342,1939684286,1657994612,45304651,18714732,20891257,18984.47,10211.53,8728.56,238.54,1099838,9408229,49.536,49033.08,13828329424,4863.768,22276.8,5089.448,3367,17512468.06,72.8,339824.576,5176.08,5096,31376.8,72071.272,4877.6,53580.8,600.6,730579.3,379.98,737.07,38461.74864,0,0,0
KWT,Asia,Kuwait,,176218134,624922,623558.714,991634,2549,2545.448,40710633.33,144372.039,144057.077,229091.309,588.819,587.994,760.66,0,0,0,0,0,0,0,0,7362471,1769791713,408864.501,1700.908,7461779,1723.855,66.2586,67997.5,0,183396984,83634538,72216053,489598,30927,7582538,4236.91,1932.17,1668.36,11.31,1751719,3282052,75.835,46715.57,3229100538,173167.488,25140.2,1749.37,831.044,48885780.6,0,98647.31,11816.64,2014.2,27602,0,1492,56315.54,601.276,17677.8,319.44,565.57,4083.997585,0,0,0
KGZ,Asia,Kyrgyzstan,,71708184,200707,200639.44,1158491,3414,3403.576,10818411.3,30280.102,30269.911,174778.257,515.098,513.487,718.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392481730,216922240,131425972,0,2113088,2782294,5921.27,3272.64,1982.78,0,419772,1455679,21.972,40809.82,4792294881,23376.759,19014.9,3245.547,2083.686,2453481.702,1012.2,315489.726,5140.53,2602.8,36511.5,64506.06,3253.5,51658.35,503.931,151544.4,335.07,525.32,22863.07582,0,0,0
FRA,Asia,France,,59464846,175901,174748.273,2590596,7639,7626.566,1492762.828,4415.697,4386.754,65032.451,191.734,191.458,757.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106559265,88061683,68893754,0,13742,5574690,267.54,221.06,172.93,0,139936,4937233,12.441,26936.42,29717229288,40598.812,13875.6,1925.426,997.402,1345774.302,0,445383.634,7154.14,0,0,28158.516,373,48363.18,381.206,0,0,0,0,0,0,0
